Year,Charge All,Charge 4-year,Charge 2-year,Tuition All,Tuition 4-year,Tuition 2-year,Dorm All,Dorm 4-year,Dorm 2-year,Board All,Board 4-year,Board 2-year
1994-95 ,5965.007691454659,6670.134721816714,4136.7243565253175,2056.899042703952,2680.7152925958526,1192.4933846210038,1959.2465143744791,2022.5880648265684,1231.8789414601697,1948.8621343762275,1966.8313643942931,1712.352030444144
1995-96 ,6255.8624179991275,7013.846385677631,4216.733700546279,2178.722423772108,2847.579122237326,1239.3610665238564,2057.400069367895,2121.0076160716535,1296.5543517577553,2019.7399248591241,2045.259647368652,1680.8182822646665
1996-97 ,6529.788712929532,7334.34178078261,4403.819426544914,2271.4348852882813,2987.2212816473275,1275.860063704531,2147.7281249089174,2213.7125914790627,1339.0736870892406,2110.625702732334,2133.4079076562193,1788.885675751142
1997-98 ,6813.366388807477,7673.380587008948,4509.398348056422,2360.4363649203337,3109.505875761182,1314.0509353149353,2225.119010188373,2300.622604098604,1400.7071077874994,2227.811013698771,2263.252107149162,1794.640304953988
1998-99 ,7106.776965938353,8026.931480317737,4604.316002706017,2430.1425593064982,3228.716854520654,1326.542939977718,2329.5819507430256,2409.2425126961425,1450.0890735038763,2347.052455888829,2388.97211310094,1827.683989224422
1999-2000 ,7307.80586777941,8274.08504452166,4730.092554761453,2503.523724145453,3348.805705279817,1347.720361319136,2439.9216530841895,2519.1103898756296,1548.763709458654,2364.3604905497677,2406.168949366213,1833.608483983664
2000-01 ,7586.196244074438,8653.411593321403,4839.016135579962,2562.051353000942,3500.5249816985165,1332.5673005026517,2568.6866574426,2654.1235359029583,1600.4497982314908,2455.4582336308968,2498.763075719928,1905.9990368458195
2001-02 ,8021.6517552025925,9196.189823454208,5137.400000664749,2700.1900671582744,3735.2056562010184,1379.7613068828541,2723.073535467805,2816.471788940584,1722.0506196936342,2598.388152576513,2644.512378312606,2035.5880740882617
2002-03 ,8501.502571322117,9787.387089271708,5601.373413723189,2902.6211870900365,4046.173101379793,1483.0253307309067,2929.869266701019,3028.742042628636,1953.931176050788,2669.012117531062,2712.4719452632776,2164.416906941494
2003-04 ,9246.805137004982,10674.26569751345,6012.094004920976,3318.7205039136834,4586.540638011575,1701.9830049665238,3105.949946107827,3212.0612456422396,2088.9579730222117,2822.134686983471,2875.663813859636,2221.15302693224
2004-05 ,9864.422461159731,11425.677336449797,6375.369829261391,3629.1875277397626,5026.550248829175,1848.6984814630757,3304.1839435543498,3418.4985566696096,2174.1126322080654,2931.0509898656182,2980.628530951013,2352.5587155902494
2005-06 ,10454.275071745022,12108.359410220604,6491.70055645076,3873.522389293592,5350.929385774132,1935.0732490983587,3545.2822965658193,3664.392396113984,2250.91950946382,3035.470385885609,3093.037628332488,2305.7077978885814
2006-07 ,11051.324707743577,12799.25556522824,6815.490871460014,4102.1292607488385,5666.2160130529,2017.4448174379659,3756.8298409239355,3878.3016637784344,2408.042407974269,3192.365606070804,3254.737888396907,2390.0036460477795
2007-08 ,11570.40904073044,13428.979997629047,6977.457447892135,4287.832579141157,5943.137007906504,2058.483415283933,3951.068130644107,4081.8391548851164,2505.1745258058504,3331.508330945175,3404.003834837427,2413.799506802352
2008-09 ,12208.585889072272,14212.112656317291,7548.518518468699,4511.831707631852,6311.838371423971,2135.6793213583987,4189.723523285575,4330.83729960355,2663.729404108105,3507.0306581548452,3569.4369852897703,2749.109793002195
2009-10 ,12819.407298039969,15035.958540434976,7708.044270798178,4763.226750332334,6716.599168920298,2283.178434609564,4400.948561381269,4564.178185146464,2853.821773634537,3655.2319863263665,3755.1811863682137,2571.0440625540773
2010-11 ,13565.858883327728,15919.351096209499,8078.6826171735265,5074.956672590043,7131.846566920388,2440.9059599846505,4645.983712673525,4831.738420001565,2955.148241811682,3844.9184980641608,3955.766109287547,2682.628415377194
2011-12 ,14358.62123130027,16786.52320914248,8617.103776406491,5563.276163740978,7713.410493513982,2651.129593085997,4849.41040151049,5030.945047573678,3100.2587603212096,3945.934666048803,4042.16766805482,2865.715422999285
2012-13 ,15021.146203820756,17474.524817527865,8927.306274559098,5898.582322167104,8070.190026370594,2791.6156294439957,5061.617259505592,5241.290529620569,3247.20651333927,4060.9466221480593,4163.044261536703,2888.4841317758332
2013-14 ,15628.495420771287,18099.57006992844,9283.15150658678,6120.285412740123,8311.86165783102,2880.5162470773703,5303.52797895048,5479.361662404429,3447.699089695351,4204.682029080684,4308.346749692991,2954.9361698140597
2014-15 ,16188.009089741223,18631.734990757584,9585.482454543842,6370.299770023038,8543.353274894378,2954.685406300339,5504.26740013439,5676.70424997301,3558.976898785123,4313.441919583794,4411.677465890197,3071.820149458381
2015-16 ,16766.117891104117,19204.332561959483,9914.331575421302,6611.744095000566,8778.397072509293,3037.7358745773226,5685.651257586727,5850.421762300935,3758.7695357158264,4468.722538516824,4575.513727149254,3117.826165128153
2016-17 ,17238.41520975217,19488.395484065077,10090.053352443778,6817.935239975725,8804.399324255442,3156.432123018043,5858.959497190671,6017.579781578186,3822.898719483953,4561.520472585772,4666.416378231447,3110.7225099417815
2017-18 ,17794.32835250931,20048.754105047174,10280.33560445779,7051.453334033232,9036.059337684297,3241.674325739264,6060.3813107391115,6227.1959745135255,3834.3899205432845,4682.493707736968,4785.49879284935,3204.271358175242
